Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,oversampling,No,12,27,204,60,0.31,0.17,0.51,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,oversampling,Sensitive Threshold,12,27,204,60,0.31,0.17,0.52,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,oversampling,Sensitive Learning,71,158,73,1,0.31,0.99,0.64,0.17
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,undersampling,No,12,24,207,60,0.33,0.17,0.53,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,undersampling,Sensitive Threshold,12,24,207,60,0.33,0.17,0.53,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,undersampling,Sensitive Learning,72,163,68,0,0.31,1,0.65,0.17
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,SMOTE,No,10,7,224,62,0.59,0.14,0.55,0.15
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,SMOTE,Sensitive Threshold,10,7,224,62,0.59,0.14,0.55,0.15
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,SMOTE,Sensitive Learning,20,114,117,52,0.15,0.28,0.37,-0.17
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,No,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,No,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,No,Sensitive Learning,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,oversampling,No,13,22,209,59,0.37,0.18,0.29,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,oversampling,Sensitive Threshold,13,22,209,59,0.37,0.18,0.54,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,oversampling,Sensitive Learning,10,36,195,62,0.22,0.14,0.61,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,undersampling,No,15,21,210,57,0.42,0.21,0.28,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,undersampling,Sensitive Threshold,15,21,210,57,0.42,0.21,0.56,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,undersampling,Sensitive Learning,7,31,200,65,0.18,0.1,0.49,-0.04
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,SMOTE,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,SMOTE,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,SMOTE,Sensitive Learning,7,26,205,65,0.21,0.1,0.49,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,No,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,No,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,No,Sensitive Learning,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,oversampling,No,13,22,209,59,0.37,0.18,0.29,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,oversampling,Sensitive Threshold,13,22,209,59,0.37,0.18,0.54,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,oversampling,Sensitive Learning,10,36,195,62,0.22,0.14,0.61,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,undersampling,No,15,21,210,57,0.42,0.21,0.28,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,undersampling,Sensitive Threshold,15,21,210,57,0.42,0.21,0.56,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,undersampling,Sensitive Learning,7,31,200,65,0.18,0.1,0.49,-0.04
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,SMOTE,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,SMOTE,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,SMOTE,Sensitive Learning,7,26,205,65,0.21,0.1,0.49,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,No,No,72,184,47,0,0.28,1,0.57,0.11
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,No,Sensitive Threshold,72,186,45,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,No,Sensitive Learning,72,186,45,0,0.28,1,0.56,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,oversampling,No,72,202,29,0,0.26,1,0.52,0.06
