Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,1,1.81,20,21.43,Ibk,No,undersampling,Sensitive Learning,3,11,66,18,0.21,0.14,0.5,0
AVRO,1,1.81,20,21.43,Ibk,No,SMOTE,No,7,6,71,14,0.54,0.33,0.68,0.3
AVRO,1,1.81,20,21.43,Ibk,No,SMOTE,Sensitive Threshold,7,6,71,14,0.54,0.33,0.63,0.3
AVRO,1,1.81,20,21.43,Ibk,No,SMOTE,Sensitive Learning,9,8,69,12,0.53,0.43,0.68,0.35
AVRO,1,1.81,20,21.43,Ibk,Best first,No,No,7,6,71,14,0.54,0.33,0.64,0.3
AVRO,1,1.81,20,21.43,Ibk,Best first,No,Sensitive Threshold,7,6,71,14,0.54,0.33,0.63,0.3
AVRO,1,1.81,20,21.43,Ibk,Best first,No,Sensitive Learning,7,6,71,14,0.54,0.33,0.64,0.3
AVRO,1,1.81,20,21.43,Ibk,Best first,oversampling,No,2,1,76,19,0.67,0.1,0.53,0.12
AVRO,1,1.81,20,21.43,Ibk,Best first,oversampling,Sensitive Threshold,2,1,76,19,0.67,0.1,0.54,0.12
AVRO,1,1.81,20,21.43,Ibk,Best first,oversampling,Sensitive Learning,15,59,18,6,0.2,0.71,0.47,-0.03
AVRO,1,1.81,20,21.43,Ibk,Best first,undersampling,No,10,10,67,11,0.5,0.48,0.67,0.35
AVRO,1,1.81,20,21.43,Ibk,Best first,undersampling,Sensitive Threshold,10,10,67,11,0.5,0.48,0.67,0.35
AVRO,1,1.81,20,21.43,Ibk,Best first,undersampling,Sensitive Learning,12,45,32,9,0.21,0.57,0.49,-0.01
AVRO,1,1.81,20,21.43,Ibk,Best first,SMOTE,No,7,7,70,14,0.5,0.33,0.63,0.28
AVRO,1,1.81,20,21.43,Ibk,Best first,SMOTE,Sensitive Threshold,7,7,70,14,0.5,0.33,0.62,0.28
AVRO,1,1.81,20,21.43,Ibk,Best first,SMOTE,Sensitive Learning,8,11,66,13,0.42,0.38,0.63,0.25
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,No,No,7,6,71,14,0.54,0.33,0.64,0.3
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,No,Sensitive Threshold,7,6,71,14,0.54,0.33,0.63,0.3
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,No,Sensitive Learning,7,6,71,14,0.54,0.33,0.64,0.3
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,oversampling,No,2,1,76,19,0.67,0.1,0.53,0.12
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,oversampling,Sensitive Threshold,2,1,76,19,0.67,0.1,0.54,0.12
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,oversampling,Sensitive Learning,15,59,18,6,0.2,0.71,0.47,-0.03
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,undersampling,No,10,10,67,11,0.5,0.48,0.67,0.35
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,undersampling,Sensitive Threshold,10,10,67,11,0.5,0.48,0.67,0.35
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,undersampling,Sensitive Learning,12,45,32,9,0.21,0.57,0.49,-0.01
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,SMOTE,No,7,7,70,14,0.5,0.33,0.63,0.28
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,SMOTE,Sensitive Threshold,7,7,70,14,0.5,0.33,0.62,0.28
AVRO,1,1.81,20,21.43,Ibk,Greedy Backward,SMOTE,Sensitive Learning,8,11,66,13,0.42,0.38,0.63,0.25
AVRO,1,1.81,20,21.43,Naive Bayes,No,No,No,0,0,77,21,NaN,0,0.76,0
AVRO,1,1.81,20,21.43,Naive Bayes,No,No,Sensitive Threshold,2,0,77,19,1,0.1,0.55,0.14
AVRO,1,1.81,20,21.43,Naive Bayes,No,No,Sensitive Learning,5,0,77,16,1,0.24,0.77,0.33
AVRO,1,1.81,20,21.43,Naive Bayes,No,oversampling,No,1,2,75,20,0.33,0.05,0.72,0.03
AVRO,1,1.81,20,21.43,Naive Bayes,No,oversampling,Sensitive Threshold,1,2,75,20,0.33,0.05,0.51,0.03
AVRO,1,1.81,20,21.43,Naive Bayes,No,oversampling,Sensitive Learning,14,59,18,7,0.19,0.67,0.47,-0.05
AVRO,1,1.81,20,21.43,Naive Bayes,No,undersampling,No,2,8,69,19,0.2,0.1,0.67,-0.01
AVRO,1,1.81,20,21.43,Naive Bayes,No,undersampling,Sensitive Threshold,4,9,68,17,0.31,0.19,0.54,0.09
AVRO,1,1.81,20,21.43,Naive Bayes,No,undersampling,Sensitive Learning,8,33,44,13,0.2,0.38,0.41,-0.04
AVRO,1,1.81,20,21.43,Naive Bayes,No,SMOTE,No,1,0,77,20,1,0.05,0.78,0.07
AVRO,1,1.81,20,21.43,Naive Bayes,No,SMOTE,Sensitive Threshold,7,3,74,14,0.7,0.33,0.65,0.36
AVRO,1,1.81,20,21.43,Naive Bayes,No,SMOTE,Sensitive Learning,9,2,75,12,0.82,0.43,0.79,0.49
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,No,No,0,0,77,21,NaN,0,0.78,0
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,No,Sensitive Threshold,1,0,77,20,1,0.05,0.52,0.07
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,No,Sensitive Learning,1,1,76,20,0.5,0.05,0.76,0.05
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,oversampling,No,0,0,77,21,NaN,0,0.67,0
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,oversampling,Sensitive Threshold,0,0,77,21,NaN,0,0.5,0
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,oversampling,Sensitive Learning,21,77,0,0,0.21,1,0.39,0
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,undersampling,No,2,6,71,19,0.25,0.1,0.68,0.02
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,undersampling,Sensitive Threshold,6,12,65,15,0.33,0.29,0.56,0.14
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,undersampling,Sensitive Learning,21,77,0,0,0.21,1,0.46,0
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,SMOTE,No,0,0,77,21,NaN,0,0.79,0
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,SMOTE,Sensitive Threshold,8,6,71,13,0.57,0.38,0.65,0.34
AVRO,1,1.81,20,21.43,Naive Bayes,Best first,SMOTE,Sensitive Learning,5,6,71,16,0.45,0.24,0.7,0.19
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,No,No,0,0,77,21,NaN,0,0.78,0
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,No,Sensitive Threshold,1,0,77,20,1,0.05,0.52,0.07
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,No,Sensitive Learning,1,1,76,20,0.5,0.05,0.76,0.05
