RELEASE,FILENAME,SIZE,LOC_added,MAX_LOC_Added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
1,src/test/java/org/apache/avro/TestProtocolGeneric.java,192,358,144,39,192,144,21,9,1,255,25,25,No
1,src/test/java/org/apache/avro/TestProtocolReflect.java,39,114,50,19,39,50,6,6,1,187,14,14,No
1,src/test/java/org/apache/avro/TestProtocolSpecific.java,167,325,113,27,167,113,13,12,2,242,18,18,No
1,src/test/java/org/apache/avro/TestReflect.java,55,141,63,23,55,63,9,6,1,187,14,14,Yes
1,src/test/java/org/apache/avro/TestSchema.java,233,431,139,26,233,139,14,16,1,294,23,23,Yes
1,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,78,0,0,0,0,0,0,0,0,0,0,0,No
1,src/test/java/org/apache/avro/io/TestBlockingIO.java,467,474,450,158,467,450,155,3,1,46,5,5,No
1,src/test/java/org/apache/avro/io/TestParsingTable.java,222,222,205,111,222,205,111,2,1,19,5,5,No
1,src/test/java/org/apache/avro/io/TestResolvingIO.java,360,360,343,180,360,343,180,2,1,19,5,5,No
1,src/test/java/org/apache/avro/io/TestResolvingTable.java,406,406,389,203,406,389,203,2,1,19,5,5,No
1,src/test/java/org/apache/avro/io/TestValidatingIO.java,647,647,630,323,647,630,323,2,1,19,5,5,No
1,src/test/java/org/apache/avro/test/TestInvocationReporter.java,35,35,35,35,35,35,35,1,1,12,12,12,No
1,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,39,39,39,39,39,39,39,1,1,12,12,12,No
1,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,39,39,39,39,39,39,39,1,1,12,12,12,No
1,src/java/org/apache/avro/io/BlockingValueWriter.java,622,627,622,313,622,622,311,2,1,41,23,23,No
1,src/java/org/apache/avro/io/ValueReader.java,471,696,426,116,0,0,0,6,1,201,23,23,No
1,src/java/org/apache/avro/io/ValueWriter.java,420,564,382,112,0,0,0,5,1,198,23,23,No
1,src/test/java/org/apache/avro/io/TestValueReader.java,78,139,73,27,78,73,15,5,1,81,23,23,No
1,src/java/org/apache/avro/ipc/ByteBufferValueReader.java,0,82,41,16,0,0,0,5,1,177,2,2,No
1,src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,0,88,44,17,0,0,0,5,1,177,2,2,No
1,JsonSchema.java,136,272,136,68,0,0,0,4,1,57,2,2,No
1,JsonSchemaWalker.java,112,224,112,56,0,0,0,4,1,5,2,2,No
2,src/java/org/apache/avro/AvroRuntimeException.java,25,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/AvroTypeException.java,26,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/Protocol.java,342,5,3,2,3,2,1,2,1,63,2,2,No
2,src/java/org/apache/avro/Schema.java,729,37,23,9,4,22,1,4,1,74,5,5,No
2,src/java/org/apache/avro/SchemaParseException.java,25,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/file/DataFileReader.java,219,2,2,2,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/file/DataFileWriter.java,207,15,13,7,14,13,7,2,1,67,6,6,No
2,src/java/org/apache/avro/file/SeekableFileInput.java,35,4,4,4,3,3,3,1,1,61,61,61,No
2,src/java/org/apache/avro/file/SeekableInput.java,37,6,3,3,1,1,0,2,1,69,8,8,No
2,src/java/org/apache/avro/generic/GenericArray.java,37,2,1,1,1,1,0,2,1,84,23,23,No
2,src/java/org/apache/avro/generic/GenericContainer.java,27,27,27,27,27,27,27,1,1,23,23,23,No
2,src/java/org/apache/avro/generic/GenericData.java,429,164,155,54,150,145,50,3,1,89,5,5,Yes
2,src/java/org/apache/avro/generic/GenericDatumReader.java,463,11,5,2,1,1,0,4,1,109,23,23,Yes
2,src/java/org/apache/avro/generic/GenericDatumWriter.java,192,20,11,6,-61,7,-20,3,1,53,23,23,Yes
2,src/java/org/apache/avro/generic/GenericFixed.java,24,1,1,1,0,0,0,1,1,61,61,61,No
2,src/java/org/apache/avro/generic/GenericRecord.java,24,3,2,1,-4,1,-2,2,1,84,23,23,No
2,src/java/org/apache/avro/generic/GenericRequestor.java,58,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/generic/GenericResponder.java,55,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/io/BinaryData.java,192,281,190,93,192,190,64,3,1,30,5,5,No
2,src/java/org/apache/avro/io/BinaryDecoder.java,301,3,2,1,1,1,0,2,1,64,3,3,No
2,src/java/org/apache/avro/io/BinaryEncoder.java,251,3,3,3,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,628,8,5,4,6,5,3,2,1,63,2,2,No
2,src/java/org/apache/avro/io/DatumReader.java,38,0,0,0,0,0,0,0,0,0,0,0,No
2,src/java/org/apache/avro/io/DatumWriter.java,36,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/io/Decoder.java,280,5,3,1,-7,0,-2,3,1,88,3,3,No
2,src/java/org/apache/avro/io/Encoder.java,275,1,1,1,0,0,0,1,1,61,61,61,No
2,src/java/org/apache/avro/io/JsonDecoder.java,399,416,397,138,399,397,133,3,1,91,6,6,No
2,src/java/org/apache/avro/io/JsonEncoder.java,241,248,239,82,241,239,80,3,1,91,6,6,Yes
2,src/java/org/apache/avro/io/ParsingDecoder.java,75,75,74,37,75,74,37,2,1,85,61,61,No
2,src/java/org/apache/avro/io/ParsingEncoder.java,70,70,52,23,70,52,23,3,1,87,2,2,No
2,src/java/org/apache/avro/io/ResolvingDecoder.java,204,72,71,36,-19,1,-9,2,1,85,61,61,No
2,src/java/org/apache/avro/io/ValidatingDecoder.java,230,76,75,38,-128,1,-64,2,1,85,61,61,No
2,src/java/org/apache/avro/io/ValidatingEncoder.java,203,82,81,41,-22,1,-11,2,1,85,61,61,No
2,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,103,103,102,51,103,102,51,2,1,85,61,61,Yes
2,src/java/org/apache/avro/io/parsing/Parser.java,145,147,144,73,145,144,72,2,1,85,61,61,Yes
2,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,338,339,337,113,338,337,112,3,1,91,6,6,No
2,src/java/org/apache/avro/io/parsing/SkipParser.java,95,97,94,48,95,94,47,2,1,85,61,61,No
2,src/java/org/apache/avro/io/parsing/Symbol.java,383,383,382,191,383,382,191,2,1,85,61,61,Yes
2,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,139,140,138,46,139,138,46,3,1,91,6,6,No
2,src/java/org/apache/avro/ipc/AvroRemoteException.java,41,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,87,2,2,2,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,91,7,7,7,4,4,4,1,1,61,61,61,No
2,src/java/org/apache/avro/ipc/RPCContext.java,149,149,149,149,149,149,149,1,1,12,12,12,No
2,src/java/org/apache/avro/ipc/RPCPlugin.java,74,74,74,74,74,74,74,1,1,12,12,12,No
2,src/java/org/apache/avro/ipc/Requestor.java,232,54,53,27,49,48,24,2,1,73,12,12,No
2,src/java/org/apache/avro/ipc/Responder.java,222,58,40,29,48,36,24,2,1,73,12,12,No
2,src/java/org/apache/avro/ipc/SocketServer.java,111,2,2,2,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/ipc/SocketTransceiver.java,95,4,4,4,2,2,2,1,1,61,61,61,No
2,src/java/org/apache/avro/ipc/Transceiver.java,43,3,3,3,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/reflect/FixedSize.java,37,10,6,5,7,4,3,2,1,69,8,8,No
2,src/java/org/apache/avro/reflect/ReflectData.java,305,93,40,23,61,27,15,4,1,96,23,23,Yes
2,src/java/org/apache/avro/reflect/ReflectDatumReader.java,118,11,6,3,0,0,0,3,1,73,8,8,Yes
2,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,66,30,16,4,-2,13,0,7,1,134,23,23,Yes
2,src/java/org/apache/avro/reflect/ReflectRequestor.java,114,34,18,8,29,16,7,4,1,104,23,23,No
2,src/java/org/apache/avro/reflect/ReflectResponder.java,129,7,5,2,5,4,1,3,1,92,23,23,Yes
2,src/java/org/apache/avro/specific/ProtocolTask.java,106,3,3,3,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/specific/SchemaTask.java,29,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/specific/SpecificCompiler.java,288,23,12,5,19,11,4,4,1,86,23,23,Yes
2,src/java/org/apache/avro/specific/SpecificData.java,71,77,67,38,71,67,35,2,1,28,5,5,Yes
2,src/java/org/apache/avro/specific/SpecificDatumReader.java,48,2,1,1,0,0,0,2,1,69,8,8,Yes
2,src/java/org/apache/avro/specific/SpecificDatumWriter.java,36,2,1,1,0,0,0,2,1,69,8,8,No
2,src/java/org/apache/avro/specific/SpecificExceptionBase.java,41,2,1,1,1,1,0,2,1,84,23,23,No
2,src/java/org/apache/avro/specific/SpecificFixed.java,29,1,1,1,1,1,1,1,1,61,61,61,No
2,src/java/org/apache/avro/specific/SpecificRecord.java,28,3,2,1,0,0,0,2,1,84,23,23,No
2,src/java/org/apache/avro/specific/SpecificRecordBase.java,72,13,12,6,8,7,4,2,1,84,23,23,No
2,src/java/org/apache/avro/specific/SpecificRequestor.java,81,36,13,7,25,13,5,5,1,112,23,23,No
2,src/java/org/apache/avro/specific/SpecificResponder.java,41,2,1,1,0,0,0,2,1,69,8,8,Yes
2,src/java/org/apache/avro/util/Utf8.java,87,12,8,6,7,5,3,2,1,84,23,23,No
2,src/test/java/org/apache/avro/BarRecord.java,53,55,35,18,53,35,17,3,1,16,8,8,Yes
2,src/test/java/org/apache/avro/FooRecord.java,47,48,33,24,47,33,23,2,1,8,2,2,No
2,src/test/java/org/apache/avro/GenerateBlockingData.java,85,85,85,85,85,85,85,1,1,3,3,3,No
2,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,176,176,176,176,176,176,176,1,1,12,12,12,No
2,src/test/java/org/apache/avro/RandomData.java,139,2,2,2,1,1,1,1,1,23,23,23,No
2,src/test/java/org/apache/avro/TestCompare.java,222,243,160,81,222,160,74,3,1,30,5,5,No
2,src/test/java/org/apache/avro/TestDataFile.java,141,4,4,4,0,0,0,1,1,15,15,15,No
2,src/test/java/org/apache/avro/TestDataFileReflect.java,176,183,142,61,176,142,58,3,1,37,23,23,Yes
2,src/test/java/org/apache/avro/TestFsData.java,139,3,3,3,-2,-2,-2,1,1,15,15,15,No
2,src/test/java/org/apache/avro/TestProtocolGeneric.java,192,15,9,7,0,0,0,2,1,27,12,12,No
2,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,42,42,42,42,42,42,42,1,1,12,12,12,No
2,src/test/java/org/apache/avro/TestProtocolReflect.java,39,2,2,2,0,0,0,1,1,15,15,15,Yes
2,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,45,45,45,45,45,45,45,1,1,12,12,12,No
2,src/test/java/org/apache/avro/TestProtocolSpecific.java,167,8,7,4,0,0,0,2,1,27,12,12,Yes
